[  625959ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  625960ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  625960ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  634260ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/shorts/episode-2-1xjn?list=1CcZgvSWH3YqPfE94M3Hs1:0
[  636544ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  636544ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  636545ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  636545ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  638122ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  638122ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  638123ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  638123ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  647622ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/shorts/vwefwefewf-ttbh?autoplay=true&list=:0
[  650787ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/shorts/vwefwefewf-ttbh?autoplay=true&list=:0
[  653064ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  653064ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  653064ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  653064ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  655505ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  655505ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  655505ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  655505ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  664989ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/shorts/rggggergrgeg-1vp9?autoplay=true&list=:0
[  668197ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/shorts/rggggergrgeg-1vp9?autoplay=true&list=:0
[  670476ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  670476ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  670476ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  670476ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  671886ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  671886ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  671887ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  671887ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  680272ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/pilot-1xig?autoplay=true&list=:0
[  682482ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  682482ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  682482ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  682482ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  682515ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  682515ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  682516ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  682516ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  690971ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/dlinnoe-nazvanie-videorolikadlinnoe-nazvanie-videorolikadlinnoe-nazvanie-vi-1swb?autoplay=true&list=:0
[  693146ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  693146ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  693146ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  693146ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  694200ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  694200ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  694201ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  694201ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  702618ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/visual-1781878118986-yuhe?autoplay=true&list=:0
[  704813ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  704813ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  704814ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  704814ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  705972ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  705972ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  705973ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  705973ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  714378ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/1781676737707-16cw?autoplay=true&list=:0
[  716550ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  716550ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  716550ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  716551ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  717910ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  717911ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  717911ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
